element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""2638.3832""","=""0.0004""","=""2638.3833""","=""0.0003""","=""-0.0001""","=""3790.2000""","=""17""","=""""",,"=""23.01454553""","=""23.484470418""","=""3s2.3p4.(3P).4d""","=""4F""","=""7/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""2655.5215""","=""0.0003""","=""2655.52169""","=""0.00021""","=""-0.0002""","=""3765.7387""","=""28""","=""""",,"=""23.103285166""","=""23.570177223""","=""3s2.3p4.(3P).4d""","=""4F""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2667.4536""","=""0.0005""","=""2667.4536""","=""0.0003""","="" 0.0000""","=""3748.8937""","=""16""","=""""",,"=""24.79461100""","=""25.259414577""","=""3s2.3p4.(1D).4d""","=""2D""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
H,1,"=""""","=""""","=""2675.131""","=""0.004""","=""""","=""3738.134""","=""(700)""","=""9.1481e+03""",AAA,"=""13.0545017""","=""[13.51797128]""","=""5""","=""""","=""""","=""13""","=""""","=""""",,"=""T8637""","=""""",
Ar,2,"=""2678.2073""","=""0.0004""","=""2678.2075""","=""0.0005""","=""-0.0002""","=""3733.8410""","=""23""","=""""",,"=""24.96363470""","=""25.42657193""","=""3s2.3p4.(3P).5d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2679.6756""","=""0.0011""","=""2679.6756""","=""0.0003""","=""0.0000""","=""3731.7951""","=""8""","=""""",,"=""24.649622089""","=""25.11230570""","=""3s2.3p4.(3P).6s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2682.7505""","=""0.0014""","=""2682.7516""","=""0.0005""","=""-0.0011""","=""3727.5177""","=""5""","=""""",,"=""24.96441882""","=""25.42657193""","=""3s2.3p4.(3P).5d""","=""4F""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2683.9516""","=""0.0005""","=""2683.9540""","=""0.0004""","=""-0.0024""","=""3725.8496""","=""13""","=""""",,"=""23.11937815""","=""23.58132422""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""2703.7028""","=""0.0002""","=""2703.70278""","=""0.00022""","=""0.0000""","=""3698.6314""","=""56""","=""""",,"=""24.800842727""","=""25.259414577""","=""3s2.3p4.(3P).6s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2706.2002""","=""0.0002""","=""2706.20043""","=""0.00022""","=""-0.0002""","=""3695.2181""","=""224""","=""""",,"=""23.162238164""","=""23.620386781""","=""3s2.3p4.(3P).4d""","=""2F""","=""7/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2715.0185""","=""0.0009""","=""2715.0177""","=""0.0003""","=""0.0008""","=""3683.2161""","=""9""","=""""",,"=""24.82597075""","=""25.282631498""","=""3s2.3p4.(1D).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4S*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2719.4463""","=""0.0006""","=""2719.4483""","=""0.0007""","=""-0.0020""","=""3677.2191""","=""17""","=""""",,"=""25.41628630""","=""25.87220304""","=""3s2.3p4.(3P<2>).5f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P).6d""","=""4F""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2720.1470""","=""0.0014""","=""2720.1419""","=""0.0004""","=""0.0051""","=""3676.2719""","=""5""","=""""",,"=""24.810530468""","=""25.26633095""","=""3s2.3p4.(3P).6s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).6p""","=""2P*""","=""1/2""",,"=""""","=""L9974""",
Ar,2,"=""2727.449""","=""0.005""","=""2727.4467""","=""0.0004""","=""0.002""","=""3666.429""","=""3""","=""""",,"=""24.34003126""","=""24.79461100""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(1D).4d""","=""2D""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2743.8173""","=""0.0002""","=""2743.8177""","=""0.0003""","=""-0.0004""","=""3644.5575""","=""46""","=""""",,"=""24.96441882""","=""25.41628630""","=""3s2.3p4.(3P).5d""","=""4F""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""2750.3210""","=""0.0014""","=""2750.3206""","=""0.0003""","=""0.0004""","=""3635.9392""","=""6""","=""""",,"=""23.11937815""","=""23.570177223""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2757.833""","=""0.002""","=""2757.8375""","=""0.0003""","=""-0.0045""","=""3626.035""","=""5""","=""""",,"=""24.96441882""","=""25.41398919""","=""3s2.3p4.(3P).5d""","=""4F""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
H,1,"=""""","=""""","=""2758.268""","=""0.005""","=""""","=""3625.464""","=""(900)""","=""1.4024e+04""",AAA,"=""13.0545017""","=""13.50400193""","=""5""","=""""","=""""","=""12""","=""""","=""""",,"=""T8637""","=""""",
Ar,2,"=""2762.0536""","=""0.0002""","=""2762.05364""","=""0.00023""","="" 0.0000""","=""3620.4945""","=""68""","=""""",,"=""24.810530468""","=""25.259414577""","=""3s2.3p4.(3P).6s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).6p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""2762.2573""","=""0.0008""","=""2762.2569""","=""0.0003""","=""0.0004""","=""3620.2276""","=""10""","=""""",,"=""23.17153570""","=""23.620386781""","=""3s2.3p4.(3P).4d""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""2764.5010""","=""0.0002""","=""2764.50103""","=""0.00023""","="" 0.0000""","=""3617.2894""","=""257""","=""""",,"=""24.649622089""","=""25.098108804""","=""3s2.3p4.(3P).6s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""2765.1969""","=""0.0014""","=""2765.2011""","=""0.0003""","=""-0.0042""","=""3616.3790""","=""5""","=""""",,"=""23.17153570""","=""23.619908872""","=""3s2.3p4.(3P).4d""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
